Museum ID,Museum Name,Museum Type,State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Income,Revenue,Opening Hours,Wheelchair Accessible,Amenities,Website URL,Museum Summary,Email Address
1,White-Meadows Museum,History,North Carolina,203 Steven Mission,Allenfurt,CA,73986,564-626-4524,73.781971,-98.672149,435316,659993,8AM-7PM,TRUE,Restrooms;Parking,http://walker.com/,Dream phone if down technology this respond or. Apply account prevent put work sense seem.,pcampbell@wilson.com
2,"Ward, Quinn and Gutierrez Museum",Natural History,Colorado,1662 Wells Ville Apt. 166,South Juanstad,MA,29444,001-540-579-2615x93529,-5.518905,64.645405,102276,198027,8AM-7PM,FALSE,Drinking Water;Cafe,https://www.luna.info/,Budget gas while represent increase argue own major.,sheila15@lopez.com
3,"Carter, Richardson and Armstrong Museum",Science,New Jersey,421 Palmer Highway,Crystalmouth,CA,45630,001-841-277-4968x09718,-88.158275,63.595247,554731,822482,8AM-5PM,TRUE,Restrooms,http://cooper.com/,Activity grow use until. Imagine local raise source may on follow young. Seek country worker age.,feliciasexton@yahoo.com
4,Collins Inc Museum,Science,Wyoming,6679 Chris Islands Suite 914,West Diane,OK,73405,(774)880-0572,-59.13315,94.17941,754453,1148109,8AM-8PM,FALSE,Gift Shop;Drinking Water;Parking,http://ellis-little.com/,Only long soldier edge natural both young reduce. Size military deep good.,orozcostuart@fox-turner.net
5,"Boone, Mueller and Hill Museum",Art,Vermont,0590 Rodriguez Knolls,Lake Jacobmouth,MD,12664,809.815.3724,33.379506,-5.524596,151928,239598,10AM-5PM,FALSE,Gift Shop,https://berger.biz/,Enter something serve message. Center rest stage physical final.,crystal91@yahoo.com
6,"Middleton, Burns and Harrison Museum",Natural History,Pennsylvania,00406 Randall Mountains Suite 169,East Kathleenborough,ME,35081,(041)606-3411,-14.00184,-154.927847,457817,713189,10AM-6PM,TRUE,Cafe,http://fleming-frank.com/,Staff success whole far. Allow recently address white benefit.,uhernandez@yahoo.com
7,Alexander-Mitchell Museum,Cultural,Tennessee,343 Stacy Squares Suite 638,Mathisstad,MA,30007,159.434.7523x772,-57.306582,-177.976024,560700,980357,10AM-5PM,TRUE,Cafe;Gift Shop;Restrooms,https://cardenas-jones.com/,Both better morning range. Travel low whom eat may. Senior father majority be.,isaiah30@hotmail.com
8,Fisher-Mata Museum,Art,Rhode Island,42767 Miller Run,Jamesland,CA,27297,(944)670-7597,45.41465,-75.127659,348447,689692,9AM-7PM,TRUE,Restrooms,https://robinson-hanson.com/,Measure sister blood. Computer guess challenge.,pattersonstephen@king-stout.com
9,"Stokes, Ramos and Bell Museum",Natural History,Ohio,1249 Morris Tunnel,South Charles,NV,9216,8990980788,-25.802812,-133.086551,119315,206170,10AM-5PM,FALSE,Cafe;Parking;Gift Shop,http://lyons.org/,"Commercial bill risk.
Course air break I every. Represent they people area true national.",ofitzgerald@mills.com
10,Adams-Bennett Museum,Art,New Jersey,999 Parker Extension Suite 519,Coreyville,TX,59229,001-743-273-6101x45879,-79.510375,108.841877,989793,1019078,9AM-5PM,FALSE,Restrooms,http://www.wallace-hernandez.biz/,"Table to area.
Argue player my science girl spring. Say truth dog near.",ejohnson@berry.net
